prompt_id	model	accuracy	clarity	educational_value	hallucination	notes
1	ChatGPT					
1	Gemini					
1	Claude					
2	ChatGPT					
2	Gemini					
2	Claude					
3	ChatGPT					
3	Gemini					
3	Claude					
4	ChatGPT					
4	Gemini					
4	Claude					
5	ChatGPT					
5	Gemini					
5	Claude					
6	ChatGPT					
6	Gemini					
6	Claude					
7	ChatGPT					
7	Gemini					
7	Claude					
8	ChatGPT					
8	Gemini					
8	Claude					
9	ChatGPT					
9	Gemini					
9	Claude					
10	ChatGPT					
10	Gemini					
10	Claude					
11	ChatGPT					
11	Gemini					
11	Claude					
12	ChatGPT					
12	Gemini					
12	Claude					
13	ChatGPT					
13	Gemini					
13	Claude					
14	ChatGPT					
14	Gemini					
14	Claude					
15	ChatGPT					
15	Gemini					
15	Claude					
16	ChatGPT					
16	Gemini					
16	Claude					
17	ChatGPT					
17	Gemini					
17	Claude					
18	ChatGPT					
18	Gemini					
18	Claude					
19	ChatGPT					
19	Gemini					
19	Claude					
20	ChatGPT					
20	Gemini					
20	Claude					
21	ChatGPT					
21	Gemini					
21	Claude					
22	ChatGPT					
22	Gemini					
22	Claude					
23	ChatGPT					
23	Gemini					
23	Claude					
24	ChatGPT					
24	Gemini					
24	Claude					
25	ChatGPT					
25	Gemini					
25	Claude					
26	ChatGPT					
26	Gemini					
26	Claude					
27	ChatGPT					
27	Gemini					
27	Claude					
28	ChatGPT					
28	Gemini					
28	Claude					
29	ChatGPT					
29	Gemini					
29	Claude					
30	ChatGPT					
30	Gemini					
30	Claude					
						
